idx	time	x	y	z	xVel	yVel	zVel	pitch	heading	roll
1027.0	102.69999999999999	265.67222140783423	-4513.737308161305	853.9889421428953	140.60889014094778	-0.0028150657974453375	52.558173693440416	-6.0083215463217625	88.69934796432882	5.335637238355759
1028.0	102.8	279.7044302108868	-4513.727526650029	859.2936094493967	140.32208803052598	0.09781511275519122	53.04667306501397	-6.126804746090281	88.72345508499366	5.332361131223751
1029.0	102.89999999999999	293.70754043678556	-4513.707537375625	864.6444998029984	140.03110225898743	0.19989274404335694	53.50890353601658	-6.244663779640492	88.74833731986061	5.3243537025445615
1030.0	102.99999999999999	307.6811429206347	-4513.677197961398	870.0390159318922	139.73602483849146	0.30339414227315004	53.94516128893734	-6.361878101486917	88.77397217609668	5.311694786820287
1031.0	103.1	321.6248376987545	-4513.636368399233	875.4745901825188	139.43694778119752	0.40829562165066924	54.355742506265365	-6.4784271661440815	88.80033716086889	5.294464218553034
1032.0	103.19999999999999	335.538234008681	-4513.584911049595	880.9486845195678	139.13396309926497	0.5145734963820126	54.74094337048976	-6.594290428126515	88.82740978134436	5.272741832244907
1033.0	103.3	349.42095028916634	-4513.522690641527	886.4587905259777	138.82716280485332	0.62220408067328	55.10106006409964	-6.709447341948741	88.85516754469015	5.2466074623980035
1034.0	103.39999999999999	363.27261418017855	-4513.449574272654	892.0024294029362	138.51663891012186	0.7311636887305681	55.43638876958409	-6.823877362125284	88.88358795807318	5.2161409435144295
1035.0	103.49999999999999	377.09286252290156	-4513.365431409178	897.5771519698794	138.20248342723008	0.8414286347599765	55.74722566943224	-6.93755994317067	88.91264852866063	5.181422110096286
1036.0	103.6	390.8813413597353	-4513.2701338858815	903.1805386644927	137.88478836833735	0.9529752329676044	56.03386694613318	-7.050474539599426	88.94232676361946	5.142530796645673
1037.0	103.69999999999999	404.6377059342956	-4513.163555906125	908.8101995427103	137.56364574560305	1.065779797559549	56.296608782175994	-7.162600605926076	88.97260017011672	5.099546837664696
1038.0	103.8	418.36162069141426	-4513.045574041851	914.4637742787153	137.23914757118666	1.1798186427419104	56.53574736004983	-7.273917596665145	89.00344625531952	5.052550067655456
1039.0	103.89999999999999	432.052759277139	-4512.916067233579	920.1389321649397	136.91138585724752	1.295068082720786	56.7515788622438	-7.384404966331163	89.03484252639484	5.001620321120056
1040.0	103.99999999999999	445.7108045387335	-4512.774916790409	925.8333721120644	136.58045261594503	1.4115044317022738	56.94439947124694	-7.494042169438649	89.06676649050974	4.946837432560595
1041.0	104.1	459.33544852467736	-4512.62200639002	931.5448226490192	136.24643985943868	1.529104003892474	57.11450536954843	-7.6028086605021326	89.09919565483128	4.88828123647918
1042.0	104.19999999999999	472.92639248466617	-4512.45722207867	937.2710419229829	135.9094395998878	1.6478431134974838	57.26219273963734	-7.710683894036138	89.1321075265265	4.826031567377912
1043.0	104.3	486.48334686961135	-4512.280452271198	943.0098176993832	135.56954384945183	1.7676980747234021	57.38775776400281	-7.8176473245551925	89.16547961276241	4.760168259758892
1044.0	104.39999999999999	500.0060313316404	-4512.09158775102	948.7589673618966	135.22684462029017	1.8886452017763276	57.491496625133884	-7.923678406573819	89.19928942070611	4.690771148124219
1045.0	104.49999999999999	513.4941747240966	-4511.890521670133	954.5163379124485	134.88143392456217	2.01066080886236	57.57370550551972	-8.028756594606545	89.23351445752462	4.617920066976004
1046.0	104.6	526.9475151015394	-4511.677149549115	960.2798059712135	134.5334037744273	2.1337212101875953	57.6346805876494	-8.132861343167894	89.26813223038496	4.541694850816342
1047.0	104.69999999999999	540.3657997197439	-4511.451369277119	966.0472777766147	134.182846182045	2.2578027199581343	57.67471805401204	-8.235972106772394	89.30312024645423	4.462175334147336
1048.0	104.8	553.7487850357014	-4511.2130811118805	971.8166891853243	133.82985315957464	2.3828816523800738	57.69411408709676	-8.338068339934571	89.33845601289943	4.379441351471094
1049.0	104.89999999999999	567.096236707619	-4510.962187679715	977.5860056722636	133.4745167191756	2.5089343216595132	57.69316486939264	-8.439129497168947	89.37411703688761	4.293572737289711
1050.0	104.99999999999999	580.4079295949198	-4510.698593975514	983.3532223306024	133.11692887300728	2.635937042002552	57.67216658338877	-8.53913503299005	89.41008082558582	4.204649326105291
1051.0	105.1	593.6836477582427	-4510.4222073627525	989.1163638717599	132.7571816332291	2.763866127615287	57.63141541157432	-8.638064401912406	89.44632488616111	4.1127509524199395
1052.0	105.19999999999999	606.9231844594428	-4510.132937573482	994.8734846254036	132.39536701200052	2.8926978927038176	57.57120753643833	-8.735897058450536	89.48282672578057	4.017957450735758
1053.0	105.3	620.126342161591	-4509.8306967083345	1000.6226685394506	132.0315770214809	3.0224086514742425	57.49183914046994	-8.832612457118973	89.51956385161115	3.9203486555548466
1054.0	105.39999999999999	633.2929325289739	-4509.515399236521	1006.3620291800664	131.66590367382963	3.1529747181326613	57.393606406158256	-8.928190052432239	89.55651377081995	3.8200044013793084
1055.0	105.49999999999999	646.4227764270945	-4509.1869619958325	1012.0897097316657	131.29843898120615	3.2843724068851694	57.27680551599236	-9.022609298904856	89.59365399057401	3.7170045227112443
1056.0	105.6	659.5157039226715	-4508.845304192639	1017.8038829969119	130.9292749557698	3.416578031937867	57.14173265246138	-9.115849651051352	89.63096201804035	3.61142885405276
1057.0	105.69999999999999	672.5715542836396	-4508.490347401889	1023.5027513967173	130.55850360968014	3.549567907496855	56.98868399805442	-9.207890563386258	89.66841536038606	3.503357229905955
1058.0	105.8	685.5901759791492	-4508.122015567113	1029.1845469702432	130.1862169550964	3.683318347768229	56.81795573526058	-9.298711490424093	89.70599152477816	3.3928694847729335
1059.0	105.89999999999999	698.571426679567	-4507.740235000417	1034.8475313749002	129.81250700417812	3.8178056669580887	56.62984404656896	-9.388291886679383	89.74366801838372	3.2800454531557968
1060.0	105.99999999999999	711.5151732564755	-4507.34493438249	1040.489995886347	129.4374657690846	3.9530061792725313	56.4246451144687	-9.476611206666655	89.78142234836972	3.164964969556647
1061.0	106.1	724.421291782673	-4506.936044762598	1046.110261398492	129.06118526197534	4.0888961989176575	56.20265512144886	-9.563648904900438	89.81923202190328	3.0477078684775862
1062.0	106.19999999999999	737.289667532174	-4506.513499558588	1051.706678423492	128.68375749500964	4.2254520400995625	55.96417024999856	-9.64938443589525	89.85707454615137	2.928353984420716
1063.0	106.3	750.1201949802087	-4506.077234556885	1057.2776270917525	128.30527448034704	4.362650017024349	55.70948668260692	-9.733797254165623	89.89492742828111	2.806983151888139
1064.0	106.39999999999999	762.9127778032233	-4505.627187912495	1062.821517151929	127.9258282301468	4.500466443898113	55.43890060176304	-9.816866814226078	89.9327681754595	2.683675205381961
1065.0	106.49999999999999	775.6673288788802	-4505.163300149003	1068.3367879709244	127.54551075656846	4.638877634926954	55.152708189956016	-9.89857257059114	89.97057429485359	2.558509979404281
